SMILES,Prediction_Score
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(S(=O)(=O)NCc2ccco2)cc1,0.9506
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(Nc2ncnc3ccccc23)cc1,0.9388
Cc1sc2ncn(CC(=O)N(Cc3ccccc3)c3ccccc3)c(=O)c2c1C,0.9237
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(SCc2cn3ccccc3n2)cc1,0.9103
COc1ccc(-c2cncc(C(=O)N[C@@H]3CCc4c(C#N)cccc43)c2)c(C)c1,0.8921
COc1c(C#N)cccc1CC(=O)Nc1ccc2c(c1)CCCN2C(=O)c1ccccc1,0.8518
CCc1cc2c(=O)n(CC)c(SCC(=O)N3CC(=O)Nc4ccccc43)nc2s1,0.8096
O=C(O)c1coc(Cn2cnc3scc(-c4ccccc4)c3c2=O)c1,0.7993
NC(=O)c1cc(NC(=O)c2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2)ccc1F,0.7988
NS(=O)(=O)c1cccc(NC(=O)C2CC(=O)N(c3cccc4ccccc34)C2)c1,0.7965
CCOc1ccc(S(=O)(=O)Nc2ccc(NC(C)=O)cc2)c2ccccc12,0.7876
Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)Nc3cccnc3)cc2)cc1,0.7863
N#Cc1cccc2c1CC[C@H]2NC(=O)c1ccc(-c2ccco2)[nH]1,0.7694
O=C(Nc1ccccc1C(F)(F)F)c1ccccc1NS(=O)(=O)c1ccc(F)cc1,0.7612
CNS(=O)(=O)c1cccc(C(=O)Nc2ccccc2N2CCc3ccccc3C2)c1,0.7596
NC(=O)c1cnc(NC(=O)c2cccc(S(=O)(=O)N3CCc4ccccc43)c2)s1,0.7212
O=C(Nc1sc2c(c1-c1nc3ccccc3[nH]1)CCCC2)c1ccccc1[N+](=O)[O-],0.7134
COc1ccccc1CN(C)C(=O)c1ccc(S(=O)(=O)NCc2ccco2)cc1,0.7117
Cc1oc2nc[nH]c(=O)c2c1C(=O)Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1,0.7003
O=C(Nc1cccc(NC(=O)c2ccncc2)c1)c1ccccc1,0.6968
O=C(CC1C(=O)Nc2ccccc2N1C(=O)c1ccco1)Nc1ccc(Cl)c(Cl)c1,0.6905
CCN(CC)Cc1cn(Cc2ccc(C(=O)N[C@@H]3CCc4c(C#N)cccc43)cc2)nn1,0.6901
COc1cc(N2C(=O)c3ccccc3C2=O)c(Cl)cc1C(=O)OCC(=O)NCc1ccco1,0.6881
O=C1Nc2ccc(S(=O)(=O)Nc3cc(C4CCCCC4)[nH]n3)c3cccc1c23,0.6881
CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(C(=O)Nc2ncccn2)c1,0.6682
CC(NC(=O)Cn1cnc2sccc2c1=O)c1ccc(-n2ccnc2)cc1,0.6672
O=C(Nc1ccncc1)c1ccccc1SCc1ccco1,0.6587
CNC(=O)c1sc2nc(-c3cccc(Oc4ccccc4)c3)[nH]c(=O)c2c1C,0.6541
O=C1CCCc2cc(S(=O)(=O)Nc3cccc(Cl)c3N3CCOCC3)ccc2N1,0.6538
Cc1nc(NC(=O)c2c(F)cccc2F)sc1Cc1ccc(F)cc1,0.6512
O=S(=O)(Nc1cccc(S(=O)(=O)C2CCCC2)c1)c1ccccc1F,0.6497
CCN(c1ccccc1)S(=O)(=O)c1ccc(N2CCc3ccccc3C2)nc1,0.6412
Cc1ccc(S(=O)(=O)Nc2cnn(-c3ccccc3)c(=O)c2Cl)cc1,0.6402
